year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,paint_color,price
2015.0,24.0,152.0,2.0,0.0,2.0,28000.0,1.0,2.0,0.0,3.0,17900
2020.0,18.0,153.0,0.0,0.0,1.0,13287.0,1.0,2.0,2.0,2.0,19634
2019.0,18.0,132.0,0.0,0.0,1.0,8168.0,1.0,2.0,2.0,4.0,34588
2017.0,18.0,154.0,0.0,0.0,1.0,10359.0,1.0,2.0,1.0,5.0,21688
2019.0,5.0,47.0,0.0,0.0,1.0,43462.0,1.0,2.0,2.0,5.0,21500
2003.0,5.0,155.0,2.0,2.0,1.0,143411.0,1.0,2.0,2.0,6.0,5750
2007.0,5.0,156.0,0.0,0.0,1.0,117148.0,1.0,2.0,2.0,2.0,7977
2008.0,7.0,108.0,0.0,0.0,2.0,132162.0,1.0,3.0,3.0,2.0,22950
2016.0,23.0,157.0,1.0,0.0,1.0,41912.0,1.0,1.0,2.0,0.0,18990
2017.0,7.0,13.0,1.0,1.0,1.0,26230.0,1.0,1.0,3.0,2.0,32990
2019.0,4.0,158.0,1.0,0.0,1.0,6428.0,1.0,1.0,3.0,5.0,30990
2012.0,12.0,159.0,1.0,1.0,1.0,38912.0,1.0,1.0,1.0,4.0,38990
2017.0,7.0,0.0,0.0,0.0,1.0,95000.0,1.0,2.0,0.0,0.0,18000
2017.0,4.0,160.0,0.0,1.0,1.0,91000.0,1.0,2.0,3.0,0.0,28500
2015.0,15.0,161.0,0.0,3.0,1.0,60721.0,1.0,2.0,1.0,4.0,22490
2011.0,18.0,162.0,0.0,2.0,1.0,148000.0,1.0,2.0,2.0,3.0,4795
2011.0,3.0,163.0,0.0,0.0,1.0,131000.0,1.0,2.0,0.0,1.0,5995
2008.0,4.0,164.0,1.0,0.0,2.0,85000.0,1.0,2.0,1.0,5.0,5300
2011.0,25.0,0.0,0.0,1.0,1.0,79000.0,1.0,2.0,3.0,4.0,22000
1996.0,4.0,165.0,1.0,2.0,1.0,200.0,1.0,2.0,1.0,0.0,2350
1968.0,4.0,32.0,1.0,1.0,1.0,57000.0,1.0,2.0,1.0,2.0,17500
2016.0,18.0,166.0,2.0,3.0,1.0,74400.0,1.0,2.0,2.0,3.0,12500
2009.0,20.0,167.0,0.0,2.0,1.0,167205.0,1.0,2.0,1.0,7.0,3550
2016.0,13.0,168.0,2.0,1.0,1.0,96000.0,1.0,2.0,3.0,5.0,32750
2011.0,18.0,62.0,0.0,2.0,1.0,127023.0,1.0,2.0,2.0,3.0,4450
2008.0,0.0,176.0,0.0,0.0,1.0,133000.0,1.0,2.0,3.0,0.0,29950
2007.0,8.0,145.0,0.0,3.0,1.0,181257.0,5.0,2.0,2.0,6.0,3599
2015.0,1.0,181.0,0.0,0.0,1.0,102000.0,1.0,2.0,3.0,0.0,29950
1979.0,19.0,184.0,1.0,2.0,1.0,42400.0,1.0,3.0,0.0,0.0,36999
2008.0,0.0,185.0,2.0,2.0,1.0,133000.0,1.0,2.0,2.0,4.0,4500
2012.0,6.0,192.0,1.0,3.0,1.0,50926.0,1.0,1.0,3.0,2.0,25990
2017.0,4.0,193.0,0.0,0.0,1.0,90062.0,1.0,2.0,0.0,5.0,15995
2017.0,5.0,6.0,1.0,3.0,1.0,27378.0,1.0,1.0,0.0,0.0,28990
2016.0,16.0,194.0,1.0,0.0,1.0,34792.0,1.0,1.0,1.0,2.0,20990
2013.0,3.0,12.0,1.0,1.0,1.0,50956.0,1.0,1.0,1.0,4.0,35990
2015.0,9.0,195.0,1.0,1.0,1.0,5262.0,1.0,1.0,1.0,4.0,27990
2010.0,1.0,41.0,1.0,1.0,1.0,5360.0,1.0,1.0,1.0,2.0,24990
2000.0,3.0,196.0,0.0,3.0,1.0,138079.0,1.0,2.0,1.0,5.0,4500
2017.0,4.0,197.0,0.0,0.0,1.0,60148.0,1.0,2.0,0.0,5.0,16995
2013.0,2.0,2.0,0.0,3.0,1.0,130000.0,1.0,2.0,0.0,0.0,5800
2004.0,4.0,198.0,0.0,0.0,2.0,184111.0,1.0,2.0,3.0,4.0,14995
2010.0,4.0,20.0,2.0,1.0,1.0,162300.0,1.0,2.0,2.0,3.0,12999
2019.0,8.0,200.0,3.0,2.0,1.0,9528.0,1.0,3.0,2.0,6.0,39888
2012.0,8.0,135.0,0.0,2.0,1.0,100000.0,5.0,2.0,0.0,3.0,6600
2013.0,4.0,203.0,0.0,4.0,1.0,195382.0,1.0,2.0,3.0,5.0,19500
2008.0,25.0,205.0,2.0,0.0,1.0,160000.0,1.0,2.0,0.0,4.0,6000
2013.0,4.0,73.0,1.0,2.0,1.0,174000.0,1.0,2.0,0.0,6.0,3900
